session,subject,period,p,score,median,upper,ownmatch,bc,g,x,y,z,bcx,bcy,bcz,winner,winnerx,winnery,winnerz,numwinners,prize,prizex,prizey,prizez,topay,year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,sex,mu,ResponseTimeBC
3,30003,2,0.69999999,42,42.544212,0,1,20,2,0,0,1,30,24,20,1,0,0,1,1,6,0,0,6,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,26
3,30003,8,0.69999999,42,42.544212,0,1,1,2,0,0,1,1,1,1,1,1,1,1,3,2,2,2,2,28,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5
3,30003,3,0.69999999,42,42.544212,0,1,9,2,0,0,1,16,14,9,1,0,0,1,1,6,0,0,6,23,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,25
3,30003,5,0.69999999,42,42.544212,0,1,0,2,0,0,1,0,65,0,1,1,0,1,2,3,3,0,3,26,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,9
3,30008,1,0.69999999,31,42.544212,0,1,34,2,0,1,0,50,34,16,0,0,0,1,1,0,0,0,6,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,18
3,30008,4,0.69999999,31,42.544212,0,1,3,2,0,1,0,5,3,4,1,0,1,0,1,6,0,6,0,11,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3
3,30003,10,0.69999999,42,42.544212,0,1,2,2,0,0,1,0,1,2,0,0,1,0,1,0,0,6,0,28,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,12
3,30008,7,0.69999999,31,42.544212,0,1,3,2,0,1,0,0,3,6,1,0,1,0,1,6,0,6,0,17,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,3
3,30004,4,0.69999999,41,42.544212,0,1,5,2,1,0,0,5,3,4,0,0,1,0,1,0,0,6,0,5,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,5
3,30003,9,0.69999999,42,42.544212,0,1,4,2,0,0,1,0,1,4,0,0,1,0,1,0,0,6,0,28,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2
